ParticipantName,TeamName,Position,ELO
Mama Baldé,Brest,ATT,1444
Mory Gbane,Reims,MID,1444
Zinédine Ould Khaled,Angers,MID,1444
Kjetil Haug,Toulouse,GK,1443
Ruben Aguilar,Lens,MID,1443
Patrik Carlgren,Nantes,GK,1443
Alban Lafont,Nantes,GK,1443
Théo De Percin,Auxerre,GK,1443
Emmanuel Sabbi,Le Havre,ATT,1442
Louis Mouton,St Etienne,ATT,1441
Nampalys Mendy,Lens,MID,1441
Jordan Ferri,Montpellier,MID,1440
Zabi Gueu,Reims,MID,1439
Derek Cornelius,Marseille,DEF,1439
Gianluigi Donnarumma,Paris Saint-Germain,GK,1438
Arnau Tenas,Paris Saint-Germain,GK,1438
Emmanuel Agbadou,Reims,DEF,1436
Saël Kumbedi,Lyon,DEF,1436
Yoann Salmier,Le Havre,DEF,1436
Marvin Senaya,Strasbourg,DEF,1436
Kevin Danso,Lens,DEF,1436
Yael Mouanga,Montpellier,DEF,1436
Rayan Raveloson,Auxerre,MID,1432
Tanguy Coulibaly,Montpellier,ATT,1432
Zakaria Aboukhlal,Toulouse,ATT,1431
Maxime Bernauer,St Etienne,DEF,1431
Abdukodir Khusanov,Lens,DEF,1431
Bamo Meité,Montpellier,DEF,1431
Ismaily,Lille,DEF,1431
Theo Chennahi,Montpellier,MID,1430
Lamine Fomba,St Etienne,MID,1430
Yaya Fofana,Reims,MID,1430
Eduard Sobol,Strasbourg,MID,1429
Valentin Atangana Edoa,Reims,MID,1429
Gauthier Gallon,Rennes,GK,1428
Marshall Munetsi,Reims,ATT,1428
Rémy Descamps,Lyon,GK,1428
Grégoire Coudert,Brest,GK,1428
Álex Dominguez,Toulouse,GK,1428
Dimitry Bertaud,Montpellier,GK,1428
Cristian Casseres Jr.,Toulouse,MID,1427
Andy Delort,Montpellier,ATT,1426
Wahbi Khazri,Montpellier,ATT,1426
Yassine Kechta,Le Havre,ATT,1423
Benjamin André,Lille,MID,1422
Rémy Lascary,Lens,ATT,1422
Yvann Macon,St Etienne,DEF,1421
Melvin Zinga,Angers,GK,1421
Alidu Seidu,Rennes,DEF,1421
Karl-Johan Johnsson,Strasbourg,GK,1421
Leo Østigard,Rennes,DEF,1421
Djaoui Cisse,Rennes,MID,1419
Andrew Omobamidele,Strasbourg,DEF,1416
M'Bala Nzola,Lens,ATT,1415
Birama Touré,Montpellier,MID,1414
Oumar Diakité,Reims,ATT,1413
Mathieu Gorgelin,Le Havre,GK,1413
Frank Magri,Toulouse,ATT,1412
Ethan Mbappé,Lille,ATT,1412
Breel Embolo,Monaco,ATT,1410
Stefan Dzodic,Montpellier,MID,1409
Florian Sotoca,Lens,ATT,1405
Pierrick Capelle,Angers,MID,1403
Kiki Kouyaté,Montpellier,DEF,1401
Mathieu Cafaro,St Etienne,ATT,1399
Hervé Koffi,Lens,GK,1398
Benjamin Lecomte,Montpellier,GK,1391
Rabby Nzingoula,Montpellier,MID,1374
Brice Samba,Lens,GK,1368
Facundo Medina,Lens,DEF,1348
