ParticipantName,TeamName,Position,ELO
Niklas Süle,Borussia Dortmund,DEF,1445
Maximilian Bauer,FC Augsburg,DEF,1445
Maxim Leitsch,1. FSV Mainz 05,DEF,1445
Anrie Chase,VfB Stuttgart,DEF,1445
Kosta Nedeljkovic,RB Leipzig,DEF,1445
Patrick Erras,Holstein Kiel,DEF,1445
Johannes Eggestein,FC St. Pauli,ATT,1445
Karol Mets,FC St. Pauli,DEF,1445
Olivier Deman,SV Werder Bremen,DEF,1445
Dan-Axel Zagadou,VfB Stuttgart,DEF,1445
Yannick Gerhardt,VfL Wolfsburg,MID,1444
Philipp Hofmann,VfL Bochum 1848,ATT,1444
Rani Khedira,1. FC Union Berlin,MID,1444
Patrick Wimmer,VfL Wolfsburg,ATT,1442
Kilian Fischer,VfL Wolfsburg,DEF,1441
Mergim Berisha,FC Augsburg,ATT,1440
Senne Lynen,SV Werder Bremen,MID,1440
Max Moerstedt,TSG 1899 Hoffenheim,ATT,1440
Leo Østigard,TSG 1899 Hoffenheim,DEF,1440
Moritz Broschinski,VfL Bochum 1848,ATT,1440
Almugera Kabar,Borussia Dortmund,DEF,1440
Amine Adli,Bayer 04 Leverkusen,ATT,1440
Ameen Al Dakhil,VfB Stuttgart,DEF,1440
Carl Johansson,Holstein Kiel,DEF,1440
Tom Krauss,VfL Bochum 1848,MID,1439
Lászlo Bénes,1. FC Union Berlin,ATT,1439
Stefan Schimmer,1. FC Heidenheim 1846,ATT,1439
Elye Wahi,Eintracht Frankfurt,ATT,1439
Aljoscha Kemlein,1. FC Union Berlin,MID,1439
Thomas Müller,Bayern München,ATT,1439
Marco Friedl,SV Werder Bremen,DEF,1436
Umut Tohumcu,TSG 1899 Hoffenheim,ATT,1435
Patrick Drewes,VfL Bochum 1848,GK,1434
Luca Philipp,TSG 1899 Hoffenheim,GK,1433
Alexander Schwolow,1. FC Union Berlin,GK,1433
Alexander Meyer,Borussia Dortmund,GK,1433
Maarten Vandevoordt,RB Leipzig,GK,1433
Tobias Sippel,Borussia Mönchengladbach,GK,1433
Erencan Yardimci,TSG 1899 Hoffenheim,ATT,1432
Joseph Scally,Borussia Mönchengladbach,DEF,1432
Tim Drexler,TSG 1899 Hoffenheim,DEF,1430
Finn Jeltsch,VfB Stuttgart,DEF,1430
Omar Traoré,1. FC Heidenheim 1846,DEF,1430
Lennard Maloney,1. FSV Mainz 05,DEF,1430
Noahkai Banks,FC Augsburg,DEF,1430
Thomas Leon Keller,1. FC Heidenheim 1846,DEF,1430
Robert Gumny,FC Augsburg,DEF,1430
Giorgos Masouras,VfL Bochum 1848,ATT,1429
Marvin Pieringer,1. FC Heidenheim 1846,ATT,1429
Elvis Rexhbecaj,FC Augsburg,MID,1428
Dominik Kohr,1. FSV Mainz 05,DEF,1428
Jonas Omlin,Borussia Mönchengladbach,GK,1428
Thomas Dähne,Holstein Kiel,GK,1426
Julien Duranville,Borussia Dortmund,ATT,1425
Siebe van der Heyden,FC St. Pauli,DEF,1425
Mikkel Kaufmann,1. FC Heidenheim 1846,ATT,1424
Merlin Röhl,Sport-Club Freiburg,ATT,1424
Lucas Höler,Sport-Club Freiburg,ATT,1422
Frank Onyeka,FC Augsburg,MID,1421
Marvin Schulz,Holstein Kiel,MID,1421
Magnus Knudsen,Holstein Kiel,MID,1421
Ben Alexander Voll,FC St. Pauli,GK,1418
Lasse Riess,1. FSV Mainz 05,GK,1418
Daniel Peretz,Bayern München,GK,1418
Enzo Millot,VfB Stuttgart,ATT,1415
Nordi Mukiele,Bayer 04 Leverkusen,DEF,1415
Steve Mounie,FC Augsburg,ATT,1415
Benedikt Gimber,1. FC Heidenheim 1846,DEF,1413
Adam Dzwigala,FC St. Pauli,DEF,1410
Ruben Vargas,FC Augsburg,ATT,1409
Maximilian Wittek,VfL Bochum 1848,DEF,1405
Konrad Laimer,Bayern München,DEF,1405
Morgan Guilavogui,FC St. Pauli,ATT,1404
Tim Siersleben,1. FC Heidenheim 1846,DEF,1400
Ibrahima Sissoko,VfL Bochum 1848,MID,1398
Tomas Cvancara,Borussia Mönchengladbach,ATT,1390
Jordan Pefok,1. FC Union Berlin,ATT,1390
Jann-Fiete Arp,Holstein Kiel,ATT,1374
Nicolai Remberg,Holstein Kiel,MID,1369
Chukwubuike Adamu,Sport-Club Freiburg,ATT,1333
Timon Weiner,Holstein Kiel,GK,1268
