ParticipantName,TeamName,Position,ELO
Kota Takai,Borussia Mönchengladbach,DEF,1447
Kevin Akpoguma,TSG 1899 Hoffenheim,DEF,1447
Dominique Heintz,1. FC Köln,DEF,1447
Jeanuël Belocian,Bayer 04 Leverkusen,DEF,1447
Cassiano Kiala,Bayern München,DEF,1447
Emre Can,Borussia Dortmund,DEF,1447
El Chadaille Bitshiabu,RB Leipzig,DEF,1447
Denis Vavro,VfL Wolfsburg,DEF,1447
Dan-Axel Zagadou,VfB Stuttgart,DEF,1447
Maxim Leitsch,1. FSV Mainz 05,DEF,1447
Jusuf Gazibegovic,1. FC Köln,DEF,1447
Fabio Chiarodia,Borussia Mönchengladbach,DEF,1447
Piero Hincapié,Bayer 04 Leverkusen,DEF,1447
Jahmai Simpson-Pusey,1. FC Köln,DEF,1447
Giorgi Gocholeishvili,Hamburger SV,MID,1446
Elvis Rexhbecaj,FC Augsburg,MID,1446
Mathias Honsak,1. FC Heidenheim 1846,ATT,1445
Arijon Ibrahimovic,1. FC Heidenheim 1846,ATT,1443
Derrick Köhn,1. FC Union Berlin,MID,1443
Luca Jaquez,VfB Stuttgart,DEF,1442
Lucas Vázquez,Bayer 04 Leverkusen,DEF,1442
Olivier Deman,SV Werder Bremen,DEF,1442
Josip Juranovic,1. FC Union Berlin,MID,1441
Samuel Essende,FC Augsburg,ATT,1440
Anthony Caci,1. FSV Mainz 05,MID,1439
Diant Ramaj,1. FC Heidenheim 1846,GK,1438
Leonardo Bittencourt,SV Werder Bremen,MID,1438
Felix Agu,SV Werder Bremen,MID,1438
Jens Castrop,Borussia Mönchengladbach,ATT,1438
Aurelio Buta,Eintracht Frankfurt,MID,1437
Kevin Paredes,VfL Wolfsburg,MID,1437
Kaua,Eintracht Frankfurt,GK,1436
Aiman Dardari,FC Augsburg,MID,1436
Yannik Keitel,FC Augsburg,MID,1436
Lasse Riess,1. FSV Mainz 05,GK,1436
Daniel Batz,1. FSV Mainz 05,GK,1436
Nicolai Remberg,Hamburger SV,MID,1436
Phillipp Mwene,1. FSV Mainz 05,MID,1436
Keke Topp,SV Werder Bremen,ATT,1435
Elye Wahi,Eintracht Frankfurt,ATT,1433
Janik Haberer,1. FC Union Berlin,MID,1433
Aboubaka Soumahoro,Hamburger SV,DEF,1432
Axel Tape-Kobrissa,Bayer 04 Leverkusen,DEF,1432
Thomas Leon Keller,1. FC Heidenheim 1846,DEF,1432
Koki Machida,TSG 1899 Hoffenheim,DEF,1432
Sacha Boey,Bayern München,DEF,1432
Ameen Al Dakhil,VfB Stuttgart,DEF,1432
Alphonso Davies,Bayern München,DEF,1432
Kacper Potulski,1. FSV Mainz 05,DEF,1432
Arthur Chaves,TSG 1899 Hoffenheim,DEF,1432
Immanuel Pherai,Hamburger SV,MID,1431
Luca Kerber,1. FC Heidenheim 1846,MID,1431
Cameron Puertas,SV Werder Bremen,ATT,1429
Mikkel Kaufmann,1. FC Heidenheim 1846,ATT,1429
Filippo Mane,Borussia Dortmund,DEF,1427
Niklas Süle,Borussia Dortmund,DEF,1427
Rav van den Berg,1. FC Köln,DEF,1427
Phillip Tietz,1. FSV Mainz 05,ATT,1425
Christopher Trimmel,1. FC Union Berlin,MID,1424
Umut Tohumcu,TSG 1899 Hoffenheim,MID,1421
Ron-Robert Zieler,1. FC Köln,GK,1421
Mathias Pereira Lage,FC St. Pauli,ATT,1421
Jan-Niklas Beste,Sport-Club Freiburg,ATT,1418
Jeffrey Gouweleeuw,FC Augsburg,DEF,1417
Pascal Stenzel,VfB Stuttgart,DEF,1417
Anthony Jung,Sport-Club Freiburg,DEF,1417
Julian Malatini,SV Werder Bremen,DEF,1417
Stefan Posch,1. FSV Mainz 05,DEF,1417
Ransford Königsdörffer,Hamburger SV,ATT,1413
Abdoulie Ceesay,FC St. Pauli,ATT,1408
Paul Nebel,1. FSV Mainz 05,ATT,1403
Andrej Ilic,1. FC Union Berlin,ATT,1395
Niklas Stark,SV Werder Bremen,DEF,1392
Robin Zentner,1. FSV Mainz 05,GK,1386
