ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Elias Saad,FC Augsburg,ATT,0.2,21.8,,,1.0,0.2,12.0,,0.4,0.4,0.07,0.5,0.09,0.4,1.4,,,,0.2,,,1.3,,,,0.5,2.7,,1.0
Eliesse Ben Seghir,Bayer 04 Leverkusen,ATT,,,,2.0,,,5.0,,,0.9,,0.1,,0.3,,,,,,,,,,,,,,,2.0
Ellyes Skhiri,Eintracht Frankfurt,MID,2.0,44.1,,,2.0,0.2,5.0,,1.4,0.4,0.04,0.3,0.03,,0.8,,,,1.8,,,0.2,1.0,,,,0.2,,
Elvis Rexhbecaj,FC Augsburg,MID,1.0,25.1,,1.0,,,8.0,,1.4,1.0,0.11,0.4,0.04,0.9,1.2,,0.1,,0.4,,,0.9,,,,0.3,0.4,1.0,4.0
Elye Wahi,Eintracht Frankfurt,ATT,,18.6,1.0,1.0,6.0,0.3,4.0,,,0.1,0.04,0.8,0.22,0.5,0.6,,,,,,,,,,,0.8,0.3,,1.0
Emir Sahiti,Hamburger SV,ATT,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
Emre Can,Borussia Dortmund,DEF,,,,,,,,,,0.4,,2.4,,2.9,,,,,,,,,,,,,,3.0,3.0
Equi Fernandez,Bayer 04 Leverkusen,MID,2.8,66.2,,1.0,,0.3,4.0,,1.8,0.8,0.13,0.4,0.07,0.3,1.5,,,,1.3,,,0.5,1.0,,,0.2,1.2,,1.0
Eren Dinkci,1. FC Heidenheim 1846,ATT,,,1.0,,2.0,,2.0,,,0.3,,0.7,,0.4,,,,,,,,,,,,,,,
Eren Dinkci,Sport-Club Freiburg,ATT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Eric Martel,1. FC Köln,DEF,1.0,44.9,2.0,4.0,,0.9,11.0,,5.0,0.9,0.05,0.8,0.04,0.6,1.6,,0.06,,1.2,,,0.2,,,,0.1,0.1,1.0,6.0
Eric Smith,FC St. Pauli,DEF,3.6,53.0,2.0,,1.0,0.7,10.0,,3.8,0.7,0.04,0.5,0.03,1.2,0.6,,0.11,,0.9,2.0,,0.1,1.0,,,0.3,0.5,2.0,3.0
Ermedin Demirovic,VfB Stuttgart,ATT,0.1,9.9,1.0,,4.0,0.1,7.0,,1.0,0.9,0.13,2.9,0.41,4.9,2.5,,0.7,,0.1,,1.0,0.6,,,,1.1,0.4,5.0,2.0
Ernest Poku,Bayer 04 Leverkusen,ATT,0.5,27.0,3.0,2.0,4.0,,18.0,,0.7,2.4,0.22,2.6,0.24,1.9,0.3,,0.36,,0.5,,,0.3,,,,0.6,1.4,4.0,
Exequiel Palacios,Bayer 04 Leverkusen,MID,,,,,,,1.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,
Ezechiel Banzuzi,RB Leipzig,MID,1.8,40.5,1.0,,1.0,0.7,5.0,,5.5,0.2,0.05,0.6,0.15,0.2,1.8,,,,1.1,,,,,,,0.7,0.5,,2.0
Fabian Rieder,FC Augsburg,ATT,1.0,19.1,2.0,3.0,,0.1,17.0,,0.3,2.1,0.14,2.7,0.19,3.2,1.8,,0.2,,0.5,,,0.6,,,,0.5,1.0,3.0,2.0
Fabio Balde,Hamburger SV,ATT,0.3,15.5,1.0,2.0,,,4.0,,0.6,0.3,0.08,0.4,0.11,0.4,0.9,,,,,,,,,,,0.9,2.7,,
Fabio Chiarodia,Borussia Mönchengladbach,DEF,,,,,,,,,,0.1,,0.0,,,,,,,,,,,,,,,,,
Fabio Moreno Fell,1. FSV Mainz 05,ATT,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Fabio Silva,Borussia Dortmund,ATT,,22.1,4.0,2.0,,0.2,11.0,,,1.1,0.25,0.6,0.14,0.1,1.8,,,,0.4,,,0.9,,,,0.4,1.6,,1.0
Fabio Vieira,Hamburger SV,MID,2.9,28.9,3.0,3.0,1.0,0.2,20.0,,1.0,1.5,0.14,2.6,0.24,1.9,1.0,,0.18,,0.5,,,0.2,2.0,,,0.6,1.0,2.0,1.0
Fares Chaibi,Eintracht Frankfurt,MID,1.1,30.2,7.0,6.0,2.0,0.2,24.0,,1.3,1.8,0.15,1.5,0.12,1.3,0.8,,0.08,,0.7,,,0.9,,,,0.4,0.4,1.0,1.0
Felipe Chavez,Bayern München,MID,,,,,,,1.0,,,0.4,,0.0,,,,,,,,,,,,,,,,,
Felix Agu,SV Werder Bremen,MID,,,,,,,5.0,,,0.4,,0.0,,0.0,,,,,,,,,,,,,,,1.0
