ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Carlens Arcus,Angers,DEF,1.9,42.7,3.0,3.0,,0.1,10.0,,2.8,0.9,0.05,0.2,0.01,0.0,1.4,,,,1.2,1.0,,0.3,,,,0.1,0.1,,4.0
Chancel Mbemba,Lille,DEF,,,,1.0,,,3.0,,,0.1,,0.4,,1.0,,,,,,,,,,,,,,,2.0
Charles Vanhoutte,Nice,MID,2.5,43.7,2.0,1.0,,0.5,7.0,,2.6,0.6,0.05,0.1,0.01,0.5,1.8,,,,1.1,1.0,,0.5,,,,0.1,0.4,,6.0
Charlie Cresswell,Toulouse,DEF,3.1,41.4,1.0,,2.0,1.2,7.0,,6.9,0.7,0.04,2.2,0.11,2.6,1.2,,0.15,,1.0,,,,,,,0.4,,3.0,5.0
Cheikh Sabaly,Metz,ATT,0.5,16.2,2.0,4.0,4.0,0.3,10.0,,0.5,1.4,0.13,1.6,0.15,1.2,1.3,,,,0.5,,,0.6,,,,0.4,1.3,,2.0
Chidozie Awaziem,Nantes,DEF,6.1,53.7,1.0,1.0,,0.7,8.0,,7.8,1.1,0.06,0.4,0.03,0.8,0.8,,0.06,,0.9,,,,,,,0.2,0.2,1.0,6.0
Christian Mawissa,Monaco,DEF,,,,,,,,,,0.1,,,,,,,,,,1.0,,,,,,,,,1.0
Christopher Wooh,Rennes,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,
Clement Akpa,Auxerre,DEF,3.5,41.1,,1.0,,0.4,7.0,,4.2,0.7,0.04,0.2,0.01,,0.6,,,,1.0,1.0,,0.1,1.0,,,,0.4,,2.0
Cleo Melieres,Metz,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0
Clinton Mata,Lyon,DEF,1.9,53.6,,,,1.1,1.0,,4.6,0.4,0.02,0.1,0.01,,1.2,,,,0.7,,,0.1,,,,,0.3,,4.0
Corentin Tolisso,Lyon,ATT,3.6,43.3,1.0,6.0,7.0,0.2,22.0,,1.3,2.3,0.14,6.3,0.4,5.6,1.7,,0.19,,0.8,,1.0,0.7,,,,1.0,0.2,3.0,5.0
Cristian Casseres Jr.,Toulouse,MID,2.8,37.7,,2.0,1.0,0.4,20.0,,1.1,1.9,0.11,1.5,0.09,1.9,1.2,,0.06,,1.3,1.0,1.0,0.6,,,,0.2,0.8,1.0,4.0
Damian Pizarro,Le Havre,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Danny Namaso,Auxerre,ATT,0.9,20.1,1.0,2.0,7.0,,19.0,,0.8,1.1,0.07,4.2,0.26,4.3,2.2,,0.12,,0.3,,,0.8,,,,0.7,1.2,2.0,5.0
Dante,Nice,DEF,,,,,,,,,,0.0,,0.1,,0.0,,,,,,1.0,,,,,,,,,
Daouda Guindo,Brest,DEF,1.3,29.5,,1.0,1.0,0.4,2.0,,2.0,0.2,0.03,0.7,0.07,0.1,1.9,,,,1.2,,,0.3,,,,0.2,0.2,,3.0
Daren Mosengo,Le Havre,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Darlin Yongwa,Lorient,DEF,1.8,38.4,,1.0,1.0,0.1,6.0,,2.7,1.0,0.11,0.2,0.03,0.2,0.9,,,,1.1,1.0,1.0,0.1,1.0,,,0.1,0.7,,2.0
