ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Aymeric Laporte,Athletic Club,DEF,3.2,50.4,1.0,1.0,1.0,1.2,2.0,,6.3,0.1,0.01,0.2,0.02,0.0,0.3,,,,1.2,,,,,,,0.1,0.1,,2.0
Ayoze Pérez,Villarreal,ATT,0.2,16.2,3.0,2.0,1.0,,10.0,,0.8,0.4,0.07,2.3,0.38,2.2,1.5,,0.33,,0.2,,,0.3,,,,0.7,1.5,2.0,2.0
Azzedine Ounahi,Girona,MID,,,1.0,3.0,,,12.0,,,1.4,,0.9,,2.0,,,,,,,1.0,,,,,,,3.0,6.0
Bambo Diaby,Elche,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0
Baptiste Santamaria,Valencia CF,MID,2.8,40.1,1.0,2.0,,0.2,4.0,,3.5,0.8,0.1,0.4,0.04,0.9,1.6,,0.12,,0.8,,,0.6,,,,0.2,0.7,1.0,2.0
Batista Mendy,Sevilla,MID,2.0,32.8,,,,0.3,9.0,,1.4,0.3,0.02,1.1,0.07,1.0,2.0,,0.07,,0.7,,,0.3,,,,0.3,0.5,1.0,5.0
Benat Prados,Athletic Club,MID,,,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.0
Benat Turrientes,Real Sociedad,MID,1.6,34.1,1.0,,,0.7,3.0,,2.5,0.2,0.04,0.3,0.06,0.5,2.5,,,,0.3,,,0.7,,,,0.5,1.3,,3.0
Bojan Miovski,Girona,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Borja Iglesias,Celta de Vigo,ATT,0.7,15.9,2.0,3.0,5.0,0.3,14.0,,1.0,1.2,0.09,6.0,0.46,7.2,1.9,,0.62,,,,1.0,0.5,,,,1.2,0.7,8.0,4.0
Borja Mayoral,Getafe,ATT,0.9,17.8,1.0,1.0,3.0,0.2,4.0,,0.4,0.2,0.02,2.9,0.25,3.3,0.5,,0.34,,0.4,,,1.0,,,,0.6,0.5,4.0,
Borja Sanchez,Real Oviedo,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Brahim Diaz,Real Madrid,ATT,0.4,33.1,3.0,3.0,,,11.0,,0.4,1.2,0.28,0.4,0.09,0.2,1.6,,,,0.2,,1.0,1.1,,,,0.4,2.0,,1.0
Brais Méndez,Real Sociedad,ATT,2.5,36.7,2.0,3.0,2.0,0.1,18.0,,0.4,1.6,0.11,3.1,0.22,4.7,2.4,,0.36,,0.4,,,0.8,1.0,,,0.9,1.1,5.0,4.0
Bryan Gil,Girona,ATT,0.4,22.3,3.0,4.0,2.0,,14.0,,0.7,1.9,0.16,1.6,0.13,0.4,1.1,,,,0.6,,,0.5,,,,0.3,1.8,,4.0
Bryan Zaragoza,Celta de Vigo,ATT,1.0,20.5,1.0,4.0,,,18.0,,0.4,2.9,0.23,2.0,0.16,2.2,0.6,,0.08,,0.2,,1.0,0.6,,,,1.0,2.1,1.0,1.0
Calebe,Alavés,ATT,0.9,33.2,,1.0,,0.1,10.0,,0.3,0.4,0.05,0.1,0.02,0.0,1.9,,,,0.9,,,0.6,,,,0.1,2.1,,2.0
Carl Starfelt,Celta de Vigo,DEF,2.1,56.6,,,2.0,0.6,1.0,,6.1,0.1,0.01,0.4,0.03,0.5,1.3,,,,1.2,,,,1.0,,,0.1,0.1,,1.0
Carles Alena,Alavés,MID,1.0,33.7,3.0,4.0,1.0,0.1,19.0,,1.4,1.8,0.13,1.4,0.1,0.6,1.5,,,,0.3,,,0.3,,,,0.3,0.8,,3.0
Carlos Dominguez,Celta de Vigo,DEF,,,,,,,1.0,,,0.0,,0.1,,,,,,,,1.0,,,,,,,,,1.0
Carlos Espi,Levante,ATT,,,,,,,,,,0.0,,0.4,,0.3,,,,,,,,,,,,,,1.0,
Carlos Macia,Villarreal,MID,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,1.0
Carlos Martin,Rayo Vallecano,ATT,,,,1.0,,,1.0,,,0.2,,0.3,,,,,,,,,,,,,,,,,1.0
Carlos Protesoni,Alavés,DEF,,,,,,,2.0,,,0.2,,0.2,,0.4,,,,,,,,,1.0,,,,,,
Carlos Romero,Espanyol,DEF,1.3,21.8,2.0,5.0,2.0,0.4,15.0,,1.7,2.4,0.12,1.9,0.09,3.0,1.5,,0.19,,1.2,,,0.4,,,,0.3,1.3,4.0,2.0
Carlos Soler,Real Sociedad,MID,1.9,36.4,2.0,4.0,3.0,0.5,21.0,,1.1,1.4,0.11,1.7,0.13,2.7,1.7,,0.16,,0.6,,,0.3,1.0,,,1.0,0.4,2.0,2.0
Carlos Vicente,Alavés,ATT,0.5,27.1,,7.0,1.0,0.1,26.0,,1.0,2.6,0.19,3.6,0.26,4.1,0.9,,0.36,,0.5,,1.0,0.4,,,,0.4,0.8,5.0,1.0
Carlos Álvarez,Levante,MID,0.9,25.2,1.0,6.0,,,33.0,,0.2,3.6,0.22,1.8,0.1,2.4,0.9,,0.18,,0.6,,1.0,0.6,,,,0.5,0.9,3.0,3.0
Charles Pickel,Espanyol,MID,1.0,26.9,,,1.0,0.5,1.0,,1.9,0.1,0.02,0.3,0.07,0.4,1.5,,,,0.7,,,0.2,,,,0.5,1.0,,1.0
Chidera Ejuke,Sevilla,ATT,1.4,30.5,1.0,1.0,1.0,,7.0,,0.6,0.5,0.1,1.1,0.21,0.4,0.2,,0.2,,0.8,,,,,,,0.2,5.7,1.0,
Christantus Uche,Getafe,ATT,,,1.0,1.0,1.0,,4.0,,,0.5,,1.4,,1.0,,,,,,,,,,,,,,1.0,1.0
Claudio Echeverri,Girona,ATT,,,,,,,1.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,
Clemens Riedel,Espanyol,DEF,,,1.0,,,,1.0,,,0.1,,0.1,,0.0,,,,,,,,,,,,,,,2.0
